
1980-01-06 00:16:06,134 proc_top starting

1980-01-06 00:16:16,134
   pid name                  utime  stime  pct
   854 (python)                 32      8   4%
    13 (kworker/0:1)             0     25   3%
    71 (mmcqd/0)                 0     19   2%
   731 (wpa_supplicant)          9      5   1%
   106 (loop0)                   0      6   1%

1980-01-06 00:16:26,134
   pid name                  utime  stime  pct
   936 (python)                 84     15  10%
   944 (sn_master_snd)           0     67   7%
   934 (python)                 55      3   6%
   912 (pixrc_udp)               3     24   3%
   909 (telem_down)              2     18   2%
   935 (python)                 11      6   2%
    71 (mmcqd/0)                 0     13   1%
    13 (kworker/0:1)             0      8   1%
   914 (pixrc_ser)               0      5   1%

1980-01-06 00:16:36,134
   pid name                  utime  stime  pct
   936 (python)                 87      4   9%
   944 (sn_master_snd)           0     74   7%
   934 (python)                 58      3   6%
   912 (pixrc_udp)               2     28   3%
   935 (python)                  5     15   2%
   909 (telem_down)              3     16   2%
   996 (mfwgstv4lsrc0:s)        10      7   2%
    13 (kworker/0:1)             0      6   1%
    24 (ipu1_task)               0      5   1%
   914 (pixrc_ser)               0      5   1%
   978 (sn_sender)               2      3   1%
   980 (sn_pktsnd)               0      5   1%

1980-01-06 00:16:46,135
   pid name                  utime  stime  pct
   936 (python)                 87      6   9%
   944 (sn_master_snd)           0     74   7%
   934 (python)                 56      5   6%
   912 (pixrc_udp)               1     30   3%
   935 (python)                 13      7   2%
   909 (telem_down)              1     17   2%
   996 (mfwgstv4lsrc0:s)        11      7   2%
   978 (sn_sender)               4      4   1%
    13 (kworker/0:1)             0      7   1%
    24 (ipu1_task)               0      5   1%
   914 (pixrc_ser)               0      5   1%

1980-01-06 00:16:56,134
   pid name                  utime  stime  pct
   936 (python)                 86     13  10%
   944 (sn_master_snd)           0     80   8%
   934 (python)                 57      7   6%
  1043 (sshd)                   12     20   3%
   912 (pixrc_udp)               6     25   3%
   935 (python)                 11      9   2%
   909 (telem_down)              2     15   2%
   996 (mfwgstv4lsrc0:s)        12      5   2%
    71 (mmcqd/0)                 0     15   2%
   978 (sn_sender)               3      5   1%
    13 (kworker/0:1)             0      6   1%
    24 (ipu1_task)               0      6   1%
   914 (pixrc_ser)               0      5   1%
   980 (sn_pktsnd)               3      2   1%
