
1980-01-06 00:30:06,135 proc_top starting

1980-01-06 00:00:02,054
   pid name                  utime  stime  pct
   832 (python)                 32      7   4%
    71 (mmcqd/0)                 0     21   2%
    64 (kworker/0:2)             0     15   2%
   730 (wpa_supplicant)         10      3   1%
   106 (loop0)                   0      6   1%

1980-01-06 00:00:12,054
   pid name                  utime  stime  pct
   926 (python)                 85     17  10%
   924 (python)                 52      5   6%
   900 (pixrc_udp)               3     23   3%
   901 (telem_down)              4     16   2%
   925 (python)                  9      8   2%
    71 (mmcqd/0)                 0      9   1%
    64 (kworker/0:2)             0      7   1%

1980-01-06 00:00:22,054
   pid name                  utime  stime  pct
   926 (python)                 92      9  10%
   937 (sn_master_snd)           0     74   7%
   924 (python)                 51      8   6%
   900 (pixrc_udp)               6     25   3%
   901 (telem_down)              0     19   2%
   925 (python)                  8     11   2%
   991 (mfwgstv4lsrc0:s)         6     11   2%
    64 (kworker/0:2)             0      6   1%
    24 (ipu1_task)               0      5   1%
   904 (pixrc_ser)               0      5   1%
   970 (sn_pktsnd)               2      3   1%

1980-01-06 00:00:32,054
   pid name                  utime  stime  pct
   926 (python)                 91     11  10%
   937 (sn_master_snd)           0     74   7%
   924 (python)                 54      5   6%
   900 (pixrc_udp)               5     25   3%
   901 (telem_down)              0     21   2%
   925 (python)                 12      8   2%
   991 (mfwgstv4lsrc0:s)        12      6   2%
   968 (sn_sender)               2      6   1%
    64 (kworker/0:2)             0      7   1%
    24 (ipu1_task)               0      5   1%
   904 (pixrc_ser)               0      5   1%

1980-01-06 00:00:42,054
   pid name                  utime  stime  pct
   926 (python)                103      4  11%
   937 (sn_master_snd)           0     75   8%
   924 (python)                 58      3   6%
   900 (pixrc_udp)               4     26   3%
   901 (telem_down)              2     19   2%
   925 (python)                 10      9   2%
   991 (mfwgstv4lsrc0:s)        13      5   2%
    64 (kworker/0:2)             0      8   1%
   968 (sn_sender)               2      6   1%
    24 (ipu1_task)               0      6   1%
   904 (pixrc_ser)               0      5   1%

1980-01-06 00:00:52,054
   pid name                  utime  stime  pct
   926 (python)                100      3  10%
   937 (sn_master_snd)           0     72   7%
   924 (python)                 55      4   6%
   900 (pixrc_udp)               4     26   3%
   901 (telem_down)              2     17   2%
   925 (python)                 10      9   2%
   991 (mfwgstv4lsrc0:s)        10      8   2%
